item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_112;is;word;food_drink;nouns;nouns;ice cream;;112
item_113;jordbær;word;food_drink;nouns;nouns;NA;;113
item_114;juice;word;food_drink;nouns;nouns;juice;;114
item_115;kaffe;word;food_drink;nouns;nouns;coffee;;115
item_116;kake;word;food_drink;nouns;nouns;cake;;116
item_117;kjeks;word;food_drink;nouns;nouns;cracker;;117
item_118;kjøtt;word;food_drink;nouns;nouns;meat;;118
item_119;kjøttkaker;word;food_drink;nouns;nouns;NA;;119
item_120;knekkebrød;word;food_drink;nouns;nouns;NA;;120
item_121;kylling;word;food_drink;nouns;nouns;chicken (food);;121
item_122;leverpostei;word;food_drink;nouns;nouns;NA;;122
item_123;mat;word;food_drink;nouns;nouns;food;;123
item_124;matpakke;word;food_drink;nouns;nouns;NA;;124
item_125;melk;word;food_drink;nouns;nouns;milk;;125
item_126;melon;word;food_drink;nouns;nouns;NA;;126
item_127;nøtter;word;food_drink;nouns;nouns;NA;;127
item_128;Nugatti;word;food_drink;nouns;nouns;NA;;128
item_129;ost;word;food_drink;nouns;nouns;cheese;;129
item_130;pannekake;word;food_drink;nouns;nouns;NA;;130
item_131;pasta;word;food_drink;nouns;nouns;pasta;;131
item_132;pizza;word;food_drink;nouns;nouns;pizza;;132
item_133;pølser;word;food_drink;nouns;nouns;NA;;133
item_134;pommes frites;word;food_drink;nouns;nouns;NA;;134
item_135;popcorn;word;food_drink;nouns;nouns;NA;;135
item_136;poteter;word;food_drink;nouns;nouns;NA;;136
item_137;potetgull;word;food_drink;nouns;nouns;NA;;137
item_138;ris;word;food_drink;nouns;nouns;NA;;138
item_139;ristet brød;word;food_drink;nouns;nouns;NA;;139
item_140;rosiner;word;food_drink;nouns;nouns;raisin;;140
item_141;saft;word;food_drink;nouns;nouns;NA;;141
item_142;salami;word;food_drink;nouns;nouns;NA;;142
item_143;salt;word;food_drink;nouns;nouns;NA;;143
item_144;saus;word;food_drink;nouns;nouns;NA;;144
item_145;sjokolade;word;food_drink;nouns;nouns;NA;;145
item_146;smør;word;food_drink;nouns;nouns;butter;;146
item_147;spagetti;word;food_drink;nouns;nouns;pasta;;147
item_148;sukkertøy;word;food_drink;nouns;nouns;candy;;148
item_149;suppe;word;food_drink;nouns;nouns;NA;;149
item_150;syltetøy;word;food_drink;nouns;nouns;NA;;150
item_151;te;word;food_drink;nouns;nouns;NA;;151
item_152;tran;word;food_drink;nouns;nouns;NA;;152
item_153;tyggegummi;word;food_drink;nouns;nouns;NA;;153
item_154;vafler;word;food_drink;nouns;nouns;NA;;154
item_155;vann;word;food_drink;nouns;nouns;water (beverage);;155
item_156;yoghurt;word;food_drink;nouns;nouns;NA;;156
item_157;belte;word;clothing;nouns;nouns;NA;;157
item_158;bleie;word;clothing;nouns;nouns;diaper;;158
item_159;bukse;word;clothing;nouns;nouns;pants;;159
item_160;dress (ute);word;clothing;nouns;nouns;NA;;160
item_161;genser;word;clothing;nouns;nouns;sweater;;161
item_162;glidelås;word;clothing;nouns;nouns;zipper;;162
item_163;halskjede;word;clothing;nouns;nouns;necklace;;163
item_164;hansker;word;clothing;nouns;nouns;NA;;164
item_165;jakke;word;clothing;nouns;nouns;jacket;;165
item_166;joggesko;word;clothing;nouns;nouns;NA;;166
item_167;kjole;word;clothing;nouns;nouns;dress (object);;167
item_168;knapper;word;clothing;nouns;nouns;button;;168
item_169;lue;word;clothing;nouns;nouns;hat;;169
item_170;pysjamas;word;clothing;nouns;nouns;pajamas;;170
item_171;regntøy;word;clothing;nouns;nouns;coat;;171
item_172;sandaler;word;clothing;nouns;nouns;NA;;172
item_173;shorts;word;clothing;nouns;nouns;shorts;;173
item_174;skjerf;word;clothing;nouns;nouns;scarf;;174
item_175;skjorte;word;clothing;nouns;nouns;NA;;175
item_176;sko;word;clothing;nouns;nouns;shoe;;176
item_177;smekke;word;clothing;nouns;nouns;bib;;177
item_178;smokk;word;clothing;nouns;nouns;pacifier;;178
item_179;sokker;word;clothing;nouns;nouns;sock;;179
item_180;støvler;word;clothing;nouns;nouns;boots;;180
item_181;strømpebukse;word;clothing;nouns;nouns;tights;;181
item_182;strømper;word;clothing;nouns;nouns;NA;;182
item_183;t-skjorte;word;clothing;nouns;nouns;t-shirt;;183
item_184;tøfler;word;clothing;nouns;nouns;NA;;184
item_185;underbukse;word;clothing;nouns;nouns;NA;;185
item_186;votter;word;clothing;nouns;nouns;mittens;;186
item_187;ankel;word;body_parts;nouns;nouns;NA;;187
item_188;ansikt;word;body_parts;nouns;nouns;face;;188
item_189;arm;word;body_parts;nouns;nouns;arm;;189
item_190;bein;word;body_parts;nouns;nouns;leg;;190
item_191;finger;word;body_parts;nouns;nouns;finger;;191
item_192;fot;word;body_parts;nouns;nouns;foot;;192
item_193;hake;word;body_parts;nouns;nouns;NA;;193
item_194;hånd;word;body_parts;nouns;nouns;hand;;194
item_195;hår;word;body_parts;nouns;nouns;hair;;195
item_196;hode;word;body_parts;nouns;nouns;head;;196
item_197;kinn;word;body_parts;nouns;nouns;cheek;;197
item_198;kne;word;body_parts;nouns;nouns;knee;;198
item_199;lepper;word;body_parts;nouns;nouns;NA;;199
item_200;mage;word;body_parts;nouns;nouns;tummy;;200
item_201;munn;word;body_parts;nouns;nouns;mouth;;201
item_202;navle;word;body_parts;nouns;nouns;belly button;;202
item_203;nese;word;body_parts;nouns;nouns;nose;;203
item_204;øre;word;body_parts;nouns;nouns;ear;;204
item_205;øye;word;body_parts;nouns;nouns;eye;;205
