age,gender,theta,group
16,jente,-2.05243045453727,Prod
17,jente,-2.01183098266157,Prod
18,jente,-1.61049788015618,Prod
19,jente,-1.55226733574064,Prod
20,jente,-1.20793494075942,Prod
21,jente,-0.960081527447148,Prod
22,jente,-0.865552927441571,Prod
23,jente,-0.59914909228034,Prod
24,jente,-0.559493746277024,Prod
25,jente,-0.476974437338649,Prod
26,jente,-0.0445089464384162,Prod
27,jente,-0.0833154179335435,Prod
28,jente,0.0273097962505886,Prod
29,jente,0.102581802235092,Prod
30,jente,0.221805712068185,Prod
31,jente,0.314947639832939,Prod
32,jente,0.410172192580562,Prod
33,jente,0.407085407189713,Prod
34,jente,0.470023972141571,Prod
35,jente,0.5644150689558,Prod
36,jente,0.602721006739713,Prod
16,gutt,-2.15994903565203,Prod
17,gutt,-2.1554624565371,Prod
18,gutt,-1.88744594021803,Prod
19,gutt,-1.63182688873033,Prod
20,gutt,-1.37624993803894,Prod
21,gutt,-1.35175244675566,Prod
22,gutt,-1.23278346446737,Prod
23,gutt,-0.979675413133996,Prod
24,gutt,-0.819453014300613,Prod
25,gutt,-0.630403024646173,Prod
26,gutt,-0.484284148651123,Prod
27,gutt,-0.338062182766204,Prod
28,gutt,-0.224202426163587,Prod
29,gutt,-0.0701597416629502,Prod
30,gutt,0.0128370457121065,Prod
31,gutt,0.0775623698062251,Prod
32,gutt,0.139115112555448,Prod
33,gutt,0.233194512853962,Prod
34,gutt,0.207317772376847,Prod
35,gutt,0.446459594680042,Prod
36,gutt,0.405068505732915,Prod
