item_id,definition,type,category,lexical_category,lexical_class,uni_lemma,complexity_category
item_122,leverpostei,word,food_drink,nouns,nouns,,
item_123,mat,word,food_drink,nouns,nouns,food,
item_124,matpakke,word,food_drink,nouns,nouns,,
item_125,melk,word,food_drink,nouns,nouns,milk,
item_126,melon,word,food_drink,nouns,nouns,,
item_127,nøtter,word,food_drink,nouns,nouns,,
item_128,nugatti,word,food_drink,nouns,nouns,,
item_129,ost,word,food_drink,nouns,nouns,cheese,
item_130,pannekake,word,food_drink,nouns,nouns,,
item_131,pasta,word,food_drink,nouns,nouns,pasta,
item_132,pizza,word,food_drink,nouns,nouns,pizza,
item_133,pølser,word,food_drink,nouns,nouns,,
item_134,pommes frites,word,food_drink,nouns,nouns,,
item_135,popcorn,word,food_drink,nouns,nouns,,
item_136,poteter,word,food_drink,nouns,nouns,,
item_137,potetgull,word,food_drink,nouns,nouns,,
item_138,ris,word,food_drink,nouns,nouns,,
item_139,ristet brød,word,food_drink,nouns,nouns,,
item_140,rosiner,word,food_drink,nouns,nouns,raisin,
item_141,saft,word,food_drink,nouns,nouns,,
item_142,salami,word,food_drink,nouns,nouns,,
item_143,salt,word,food_drink,nouns,nouns,,
item_144,saus,word,food_drink,nouns,nouns,,
item_145,sjokolade,word,food_drink,nouns,nouns,,
item_146,smør,word,food_drink,nouns,nouns,butter,
item_147,spagetti,word,food_drink,nouns,nouns,pasta,
item_148,sukkertøy,word,food_drink,nouns,nouns,candy,
item_149,suppe,word,food_drink,nouns,nouns,,
item_150,syltetøy,word,food_drink,nouns,nouns,,
item_151,te,word,food_drink,nouns,nouns,,
item_152,tran,word,food_drink,nouns,nouns,,
item_153,tyggegummi,word,food_drink,nouns,nouns,,
item_154,vafler,word,food_drink,nouns,nouns,,
item_155,vann,word,food_drink,nouns,nouns,water (beverage),
item_156,yoghurt,word,food_drink,nouns,nouns,,
item_157,belte,word,clothing,nouns,nouns,,
item_158,bleie,word,clothing,nouns,nouns,diaper,
item_159,bukse,word,clothing,nouns,nouns,pants,
item_160,dress (ute),word,clothing,nouns,nouns,,
item_161,genser,word,clothing,nouns,nouns,sweater,
item_162,glidelås,word,clothing,nouns,nouns,zipper,
item_163,halskjede,word,clothing,nouns,nouns,necklace,
item_164,hansker,word,clothing,nouns,nouns,,
item_165,jakke,word,clothing,nouns,nouns,jacket,
item_166,joggesko,word,clothing,nouns,nouns,,
item_167,kjole,word,clothing,nouns,nouns,dress (object),
item_168,knapper,word,clothing,nouns,nouns,button,
item_169,lue,word,clothing,nouns,nouns,hat,
item_170,pysjamas,word,clothing,nouns,nouns,pajamas,
item_171,regntøy,word,clothing,nouns,nouns,coat,
item_172,sandaler,word,clothing,nouns,nouns,,
item_173,shorts,word,clothing,nouns,nouns,shorts,
item_174,skjerf,word,clothing,nouns,nouns,scarf,
item_175,skjorte,word,clothing,nouns,nouns,,
item_176,sko,word,clothing,nouns,nouns,shoe,
item_177,smekke,word,clothing,nouns,nouns,bib,
item_178,smokk,word,clothing,nouns,nouns,pacifier,
item_179,sokker,word,clothing,nouns,nouns,sock,
item_180,støvler,word,clothing,nouns,nouns,boots,
item_181,strømpebukse,word,clothing,nouns,nouns,tights,
item_182,strømper,word,clothing,nouns,nouns,,
item_183,t-skjorte,word,clothing,nouns,nouns,t-shirt,
item_184,tøfler,word,clothing,nouns,nouns,,
item_185,underbukse,word,clothing,nouns,nouns,,
item_186,votter,word,clothing,nouns,nouns,mittens,
item_187,ankel,word,body_parts,nouns,nouns,,
item_188,ansikt,word,body_parts,nouns,nouns,face,
item_189,arm,word,body_parts,nouns,nouns,arm,
item_190,bein,word,body_parts,nouns,nouns,leg,
item_191,finger,word,body_parts,nouns,nouns,finger,
item_192,fot,word,body_parts,nouns,nouns,foot,
item_193,hake,word,body_parts,nouns,nouns,,
item_194,hånd,word,body_parts,nouns,nouns,hand,
item_195,hår,word,body_parts,nouns,nouns,hair,
item_196,hode,word,body_parts,nouns,nouns,head,
item_197,kinn,word,body_parts,nouns,nouns,cheek,
item_198,kne,word,body_parts,nouns,nouns,knee,
item_199,lepper,word,body_parts,nouns,nouns,,
item_200,mage,word,body_parts,nouns,nouns,tummy,
item_201,munn,word,body_parts,nouns,nouns,mouth,
item_202,navle,word,body_parts,nouns,nouns,belly button,
item_203,nese,word,body_parts,nouns,nouns,nose,
item_204,øre,word,body_parts,nouns,nouns,ear,
item_205,øye,word,body_parts,nouns,nouns,eye,
item_206,pupp,word,body_parts,nouns,nouns,,
item_207,rumpe,word,body_parts,nouns,nouns,,
item_208,rygg,word,body_parts,nouns,nouns,,
item_209,skulder,word,body_parts,nouns,nouns,,
item_210,tenner,word,body_parts,nouns,nouns,tooth,
item_211,tiss,word,body_parts,nouns,nouns,penis,
item_212,tunge,word,body_parts,nouns,nouns,tongue,
item_213,tå,word,body_parts,nouns,nouns,toe,
item_214,bilde,word,household,nouns,nouns,picture,
item_215,boks,word,household,nouns,nouns,,
item_216,børste,word,household,nouns,nouns,brush (object),
item_217,bøtte,word,household,nouns,nouns,,
item_218,brett,word,household,nouns,nouns,,
item_219,briller,word,household,nouns,nouns,glasses,
item_220,dopapir,word,household,nouns,nouns,,
item_221,dyne,word,household,nouns,nouns,blanket,
item_222,eske,word,household,nouns,nouns,box,
item_223,fat,word,household,nouns,nouns,,
item_224,flaske,word,household,nouns,nouns,bottle,
item_225,gåbil,word,household,nouns,nouns,,
item_226,gaffel,word,household,nouns,nouns,fork,
item_227,glass,word,household,nouns,nouns,glass,
item_228,hammer,word,household,nouns,nouns,hammer,
item_229,håndkle,word,household,nouns,nouns,towel,
item_230,kam,word,household,nouns,nouns,comb (object),
item_231,kamera,word,household,nouns,nouns,,
item_232,kasse,word,household,nouns,nouns,,
item_233,kjøkkenrull,word,household,nouns,nouns,,
item_234,klokke,word,household,nouns,nouns,clock,
item_235,kniv,word,household,nouns,nouns,knife,
item_236,kopp,word,household,nouns,nouns,cup,
item_237,kost,word,household,nouns,nouns,broom,
item_238,krukke,word,household,nouns,nouns,,
item_239,krus,word,household,nouns,nouns,,
item_240,lampe,word,household,nouns,nouns,lamp,
item_241,lommebok,word,household,nouns,nouns,purse,
item_242,lys,word,household,nouns,nouns,light (object),
item_243,medisin,word,household,nouns,nouns,medicine,
item_244,nøkler,word,household,nouns,nouns,keys,
item_245,papir,word,household,nouns,nouns,paper,
item_246,penger,word,household,nouns,nouns,money,
item_247,plante,word,household,nouns,nouns,plant,
item_248,pute,word,household,nouns,nouns,pillow,
item_249,radio,word,household,nouns,nouns,radio,
item_250,saks,word,household,nouns,nouns,scissors,
item_251,såpe,word,household,nouns,nouns,soap,
item_252,sekk,word,household,nouns,nouns,,
item_253,serviett,word,household,nouns,nouns,,
item_254,skål,word,household,nouns,nouns,bowl,
item_255,skje,word,household,nouns,nouns,spoon,
item_256,søppel,word,household,nouns,nouns,trash,
item_257,søppelbøtte,word,household,nouns,nouns,,
item_258,støvsuger,word,household,nouns,nouns,vacuum,
item_259,tallerken,word,household,nouns,nouns,plate,
item_260,tannbørste,word,household,nouns,nouns,toothbrush,
item_261,telefon,word,household,nouns,nouns,telephone,
item_262,teppe,word,household,nouns,nouns,blanket,
item_263,veske,word,household,nouns,nouns,purse,
item_264,bad,word,furniture_rooms,nouns,nouns,bathroom,
item_265,badekar,word,furniture_rooms,nouns,nouns,bathtub,
item_266,balkong,word,furniture_rooms,nouns,nouns,,
item_267,barneseng,word,furniture_rooms,nouns,nouns,,
item_268,barnestol,word,furniture_rooms,nouns,nouns,high chair,
item_269,bord,word,furniture_rooms,nouns,nouns,table,
item_270,do,word,furniture_rooms,nouns,nouns,,
item_271,dør,word,furniture_rooms,nouns,nouns,door,
item_272,dusj,word,furniture_rooms,nouns,nouns,,
item_273,garasje,word,furniture_rooms,nouns,nouns,garage,
item_274,gyngestol,word,furniture_rooms,nouns,nouns,rocking chair,
item_275,kjeller,word,furniture_rooms,nouns,nouns,,
item_276,kjøkken,word,furniture_rooms,nouns,nouns,kitchen,
item_277,kjøleskap,word,furniture_rooms,nouns,nouns,refrigerator,
item_278,komfyr,word,furniture_rooms,nouns,nouns,stove,
item_279,lekegrind,word,furniture_rooms,nouns,nouns,play pen,
item_280,ovn,word,furniture_rooms,nouns,nouns,oven,
item_281,PC,word,furniture_rooms,nouns,nouns,,
item_282,potte,word,furniture_rooms,nouns,nouns,potty,
item_283,rom,word,furniture_rooms,nouns,nouns,,
item_284,seng,word,furniture_rooms,nouns,nouns,bed,
item_285,skap,word,furniture_rooms,nouns,nouns,,
item_286,skuff,word,furniture_rooms,nouns,nouns,drawer,
item_287,sofa,word,furniture_rooms,nouns,nouns,couch,
item_288,soverom,word,furniture_rooms,nouns,nouns,bedroom,
item_289,stol,word,furniture_rooms,nouns,nouns,chair,
item_290,stue,word,furniture_rooms,nouns,nouns,living room,
item_291,terrasse,word,furniture_rooms,nouns,nouns,,
item_292,tørketrommel,word,furniture_rooms,nouns,nouns,,
item_293,trapp,word,furniture_rooms,nouns,nouns,stairs,
item_294,TV,word,furniture_rooms,nouns,nouns,tv,
item_295,vask,word,furniture_rooms,nouns,nouns,sink,
item_296,vaskemaskin,word,furniture_rooms,nouns,nouns,,
item_297,vindu,word,furniture_rooms,nouns,nouns,window,
item_298,badebasseng,word,outside,nouns,nouns,,
item_299,bakgård,word,outside,nouns,nouns,,
item_300,blomst,word,outside,nouns,nouns,flower,
item_301,fjell,word,outside,nouns,nouns,,
item_302,flagg,word,outside,nouns,nouns,,
item_303,fortau,word,outside,nouns,nouns,,
item_304,gress,word,outside,nouns,nouns,,
item_305,gressklipper,word,outside,nouns,nouns,,
item_306,himmel,word,outside,nouns,nouns,sky,
item_307,huske,word,outside,nouns,nouns,swing (object),
item_308,kjelke,word,outside,nouns,nouns,,
item_309,måne,word,outside,nouns,nouns,moon,
item_310,pinne,word,outside,nouns,nouns,,
item_311,regn,word,outside,nouns,nouns,rain,
item_312,sandkasse,word,outside,nouns,nouns,,
item_313,sklie,word,outside,nouns,nouns,slide (object),
item_314,skyer,word,outside,nouns,nouns,,
item_315,snø,word,outside,nouns,nouns,snow,
item_316,snømann,word,outside,nouns,nouns,,
item_317,sol,word,outside,nouns,nouns,sun,
item_318,spade,word,outside,nouns,nouns,shovel,
item_319,steiner,word,outside,nouns,nouns,rock (object),
item_320,stige,word,outside,nouns,nouns,,
item_321,stjerner,word,outside,nouns,nouns,star,
item_322,tak,word,outside,nouns,nouns,,
item_323,trampoline,word,outside,nouns,nouns,,
item_324,tre,word,outside,nouns,nouns,tree,
item_325,vann,word,outside,nouns,nouns,water (not beverage),
item_326,vannslange,word,outside,nouns,nouns,,
item_327,vei,word,outside,nouns,nouns,,
item_328,vind,word,outside,nouns,nouns,,
item_329,bensinstasjon,word,places,other,other,,
item_330,bondegård,word,places,other,other,,
item_331,butikk,word,places,other,other,store,
item_332,byen,word,places,other,other,,
item_333,campingplass,word,places,other,other,,
item_334,dyrehage,word,places,other,other,zoo,
item_335,fest,word,places,other,other,party,
item_336,hage,word,places,other,other,garden,
item_337,hjem,word,places,other,other,home,
item_338,hus,word,places,other,other,house,
item_339,jobb,word,places,other,other,work (place),
item_340,kino,word,places,other,other,,
item_341,kirke,word,places,other,other,church,
item_342,landet,word,places,other,other,,
item_343,lekeplass,word,places,other,other,,
item_344,park,word,places,other,other,park,
item_345,sirkus,word,places,other,other,,
item_346,skogen,word,places,other,other,,
item_347,skole,word,places,other,other,school,
item_348,strand,word,places,other,other,beach,
item_349,svømmehall,word,places,other,other,pool,
item_350,ut,word,places,other,other,,
item_351,baby,word,people,other,other,baby,
item_352,barn,word,people,other,other,child,
item_353,barnets navn,word,people,other,other,child's own name,
item_354,barnevaktens navn,word,people,other,other,,
item_355,bestefar,word,people,other,other,grandpa,
item_356,bestemor,word,people,other,other,grandma,
item_357,bonde,word,people,other,other,,
item_358,brannmann,word,people,other,other,firefighter,
item_359,bror,word,people,other,other,brother,
item_360,cowboy,word,people,other,other,,
item_361,dame,word,people,other,other,lady,
item_362,doktor,word,people,other,other,,
item_363,farfar,word,people,other,other,grandpa,
item_364,farmor,word,people,other,other,grandma,
item_365,folk,word,people,other,other,,
item_366,gutt,word,people,other,other,boy,
item_367,helsesøster,word,people,other,other,,
item_368,jente,word,people,other,other,girl,
item_369,klovn,word,people,other,other,,
item_370,lærer,word,people,other,other,,
item_371,mamma/mor,word,people,other,other,mommy,
item_372,mann,word,people,other,other,man,
item_373,mennesker,word,people,other,other,person,
item_374,morfar,word,people,other,other,grandpa,
item_375,mormor,word,people,other,other,grandma,
item_376,navn på kjæledyr,word,people,other,other,,
item_377,oldefar,word,people,other,other,great grandpa,
item_378,oldemor,word,people,other,other,great grandma,
item_379,onkel,word,people,other,other,uncle,
item_380,pappa/far,word,people,other,other,daddy,
item_381,politi,word,people,other,other,police,
item_382,postbud,word,people,other,other,,
item_383,søster,word,people,other,other,sister,
item_384,tante,word,people,other,other,aunt,
item_385,venn,word,people,other,other,,
item_386,venninne,word,people,other,other,,
item_387,“kommer og tar deg” lek,word,games_routines,other,other,,
item_388,bade,word,games_routines,other,other,bath,
item_389,frokost,word,games_routines,other,other,breakfast,
item_390,gå på do,word,games_routines,other,other,,
item_391,god natt,word,games_routines,other,other,good night,
item_392,ha det,word,games_routines,other,other,bye,
item_393,hallo,word,games_routines,other,other,,
item_394,handle,word,games_routines,other,other,,
item_395,hei,word,games_routines,other,other,hi,
item_396,hysj,word,games_routines,other,other,shh,
item_397,ikke,word,games_routines,other,other,don't,
item_398,ja,word,games_routines,other,other,yes,
item_399,jo,word,games_routines,other,other,,
item_400,klappe kake,word,games_routines,other,other,pattycake,
item_401,kveldsmat,word,games_routines,other,other,,
item_402,Borte! (lek hvor ansikt gjemmes og plutselig vises),word,games_routines,other,other,peekaboo,
item_403,lunsj,word,games_routines,other,other,lunch,
item_404,middag,word,games_routines,other,other,dinner,
item_405,nei,word,games_routines,other,other,no,
item_406,ringe,word,games_routines,other,other,,
item_407,snurre rundt,word,games_routines,other,other,,
item_408,sovetid,word,games_routines,other,other,nap,
item_409,sååå stor,word,games_routines,other,other,,
item_410,takk,word,games_routines,other,other,thank you,
item_411,vær så snill,word,games_routines,other,other,please,
item_412,vent,word,games_routines,other,other,wait,
item_413,vil,word,games_routines,other,other,wanna,
item_414,jobbe,word,action_words,predicates,verbs,,
item_415,bite,word,action_words,predicates,verbs,bite,
item_416,blåse,word,action_words,predicates,verbs,blow,
item_417,bråke,word,action_words,predicates,verbs,,
item_418,bygge,word,action_words,predicates,verbs,,
item_419,bære,word,action_words,predicates,verbs,,
