item_id;definition;language;form;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_212;tęsknić;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;212
item_168;niespodzianka;Polish;CDI3;word;emotion;nouns;nouns;NA;NA;168
item_211;opiekować się;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;211
item_169;nuda;Polish;CDI3;word;emotion;nouns;nouns;NA;NA;169
item_188;straszny;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;188
item_172;życzenia (np. świąteczne, urodzinowe);Polish;CDI3;word;emotion;nouns;nouns;NA;NA;172
item_182;odważny;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;182
item_208;nudzić się;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;208
item_179;nudny;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;179
item_180;obrażony;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;180
item_213;uwielbiać;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;213
item_194;zadowolony;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;194
item_193;zabawny;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;193
item_215;wstydzić się;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;215
item_171;wstyd;Polish;CDI3;word;emotion;nouns;nouns;NA;NA;171
item_181;obrzydliwy;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;181
item_178;nieśmiały;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;178
item_183;ohydny;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;183
item_207;nienawidzieć;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;207
item_216;żałować;Polish;CDI3;word;emotion;verbs;verbs;NA;NA;216
item_185;rozdrażniony;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;185
item_195;zaskakujący;Polish;CDI3;word;emotion;adjectives;adjectives;NA;NA;195
item_2;A. Przyjedzie ciocia. Będziemy się bawić.%B. Przyjedzie ciocia i będziemy się bawić.;Polish;CDI3;alternatives;grupa1;NA;NA;NA;NA;2
item_19;A. Mam worek.%B. Mam worek z butami.;Polish;CDI3;alternatives;grupa1;NA;NA;NA;NA;19
item_13;A. Tata przyjdzie. Nakarmi kota.%B. Jak tata przyjdzie, to nakarmi kota.;Polish;CDI3;alternatives;grupa1;NA;NA;NA;NA;13
item_3;A. Babcia przyjedzie.%B. Babcia powiedziała, że przyjedzie.;Polish;CDI3;alternatives;grupa1;NA;NA;NA;NA;3
item_5;A. Myję nogi. Będą czyste.%B. Myję nogi, żeby były czyste.;Polish;CDI3;alternatives;grupa1;NA;NA;NA;NA;5
item_15;A. Braciszek zrobił kanapkę. Braciszek jej nie je.%B. Braciszek zrobił kanapkę, ale jej nie je.;Polish;CDI3;alternatives;grupa1;NA;NA;NA;NA;15
