text_type;text;item_type;category
longText;W języku polskim wielu słów używamy w różnych formach, w zależności od tego, co chcemy powiedzieć. Dzieci zazwyczaj używają słowa najpierw tylko w jednej formie (np. „tata”, „Nie ma <b>tata</b>”), a z czasem uczą się używać innych jego form (np. „Nie ma <b>taty</b>”, „Dam <b>tacie</b>”).<br><br>W tej części kwestionariusza pytamy o różne formy słów, których Twoje dziecko może używać w codziennych rozmowach. Nie chodzi o to, co dziecko jest w stanie powtórzyć, np. w rymowankach albo kiedy mu czytasz, ale o formy, których używa samo z siebie.<br><br><b><u>Słowa na poniższej liście to tylko przykłady.</u></b> Zaznacz „mamę, lalkę, piłkę”, nawet jeśli Twoje dziecko nie używa tych konkretnych słów w tej formie, ale mówi np. „zupkę” albo „bajkę”. <b><u>Nie przejmuj się też błędami</u></b>, które Twoje dziecko może popełniać. Zaznacz na przykład „kotkowi, rowerkowi”, jeśli Twoje dziecko mówi „piesowi”. Takie błędy są zupełnie naturalne w mowie dzieci i świadczą o jej rozwoju.;inflection;noun_form
warning;Czy Twoje dziecko używa form takich jak na przykład:;inflection;noun_form
catHeader;Formy;inflection;adjective_adverb
warning;Czy Twoje dziecko (np. porównując coś do czegoś) używa form takich jak na przykład:;inflection;adjective_adverb
catHeader;Konteksty;inflection;noun_context
choiceNames;jeszcze nie, czasem, często;inflection;noun_context
longText;Słowa mogą przybierać różne formy w zależności od kontekstu wypowiedzi. Odpowiadając na pytania poniżej, zaznacz „czasem” lub „często”, nawet jeśli Twoje dziecko nie używa słów, które podajemy jako przykłady, ale używa innych w podobnych kontekstach.<br><br>Będziemy wdzięczni, zwłaszcza jeśli zaznaczasz „jeszcze nie”, za <b><u>podanie w polu na uwagi przykładu</u></b>, jak Twoje dziecko mówi w podobnych kontekstach, np. „Boję piesa”, „Boję (się)… pies [wskazując na psa]” lub „Nie psa” zamiast „Nie ma psa”.<br><br>;inflection;noun_context
catHeader;Czas;inflection;verb_tense
longText;Również w tej części użyte przez nas słowa to tylko przykłady. Zaznacz „czasem” lub „często”, jeśli Twoje dziecko używa jakichkolwiek słów w tej formie, niekoniecznie tych, które podaliśmy. Nie interesują nas też błędy, które Twoje dziecko może popełniać. Nie przejmuj się, jeśli Twoje dziecko mówi na przykład „poszłem” zamiast „poszedłem”. Takie błędy są zupełnie naturalne w mowie dzieci i świadczą o jej rozwoju.;inflection;verb_tense
choiceNames;jeszcze nie, czasem, często;inflection;verb_tense
