item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
item_111;kjeks;word;food_drink;nouns;nouns;cracker;
item_112;kjøtt;word;food_drink;nouns;nouns;meat;
item_113;kylling;word;food_drink;nouns;nouns;chicken (food);
item_114;mat;word;food_drink;nouns;nouns;food;
item_115;melk;word;food_drink;nouns;nouns;milk;
item_116;ost;word;food_drink;nouns;nouns;cheese;
item_117;pasta;word;food_drink;nouns;nouns;pasta;
item_118;pizza;word;food_drink;nouns;nouns;pizza;
item_119;rosiner;word;food_drink;nouns;nouns;raisin;
item_120;smør;word;food_drink;nouns;nouns;butter;
item_121;spagetti;word;food_drink;nouns;nouns;pasta;
item_122;sukkertøy;word;food_drink;nouns;nouns;candy;
item_123;vann;word;food_drink;nouns;nouns;water (beverage);
item_124;bleie;word;clothing;nouns;nouns;diaper;
item_125;bukse;word;clothing;nouns;nouns;pants;
item_126;genser;word;clothing;nouns;nouns;sweater;
item_127;glidelås;word;clothing;nouns;nouns;zipper;
item_128;halskjede;word;clothing;nouns;nouns;necklace;
item_129;jakke;word;clothing;nouns;nouns;jacket;
item_130;kjole;word;clothing;nouns;nouns;dress (object);
item_131;knapp;word;clothing;nouns;nouns;button;
item_132;lue;word;clothing;nouns;nouns;hat;
item_133;pysjamas;word;clothing;nouns;nouns;pajamas;
item_134;regntøy;word;clothing;nouns;nouns;coat;
item_135;shorts;word;clothing;nouns;nouns;shorts;
item_136;sko;word;clothing;nouns;nouns;shoe;
item_137;smekke;word;clothing;nouns;nouns;bib;
item_138;smokk;word;clothing;nouns;nouns;pacifier;
item_139;sokker;word;clothing;nouns;nouns;sock;
item_140;støvler;word;clothing;nouns;nouns;boots;
item_141;strømpebukse;word;clothing;nouns;nouns;tights;
item_142;t-skjorte;word;clothing;nouns;nouns;t-shirt;
item_143;votter;word;clothing;nouns;nouns;mittens;
item_144;ansikt;word;body_parts;nouns;nouns;face;
item_145;arm;word;body_parts;nouns;nouns;arm;
item_146;bein;word;body_parts;nouns;nouns;leg;
item_147;finger;word;body_parts;nouns;nouns;finger;
item_148;fot;word;body_parts;nouns;nouns;foot;
item_149;hånd;word;body_parts;nouns;nouns;hand;
item_150;hår;word;body_parts;nouns;nouns;hair;
item_151;hode;word;body_parts;nouns;nouns;head;
item_152;kinn;word;body_parts;nouns;nouns;cheek;
item_153;kne;word;body_parts;nouns;nouns;knee;
item_154;mage;word;body_parts;nouns;nouns;tummy;
item_155;munn;word;body_parts;nouns;nouns;mouth;
item_156;navle;word;body_parts;nouns;nouns;belly button;
item_157;nese;word;body_parts;nouns;nouns;nose;
item_158;øre;word;body_parts;nouns;nouns;ear;
item_159;øye;word;body_parts;nouns;nouns;eye;
item_160;tå;word;body_parts;nouns;nouns;toe;
item_161;tenner;word;body_parts;nouns;nouns;tooth;
item_162;tiss;word;body_parts;nouns;nouns;penis;
item_163;tunge;word;body_parts;nouns;nouns;tongue;
item_164;bilde;word;household;nouns;nouns;picture;
item_165;børste;word;household;nouns;nouns;brush (object);
item_166;briller;word;household;nouns;nouns;glasses;
item_167;dyne;word;household;nouns;nouns;blanket;
item_168;eske;word;household;nouns;nouns;box;
item_169;flaske;word;household;nouns;nouns;bottle;
item_170;gaffel;word;household;nouns;nouns;fork;
item_171;glass;word;household;nouns;nouns;glass;
item_172;hammer;word;household;nouns;nouns;hammer;
item_173;håndkle;word;household;nouns;nouns;towel;
item_174;kam;word;household;nouns;nouns;comb (object);
item_175;klokke;word;household;nouns;nouns;clock;
item_176;kniv;word;household;nouns;nouns;knife;
item_177;kopp;word;household;nouns;nouns;cup;
item_178;kost;word;household;nouns;nouns;broom;
item_179;lampe;word;household;nouns;nouns;lamp;
item_180;lommebok;word;household;nouns;nouns;purse;
item_181;lys;word;household;nouns;nouns;light (object);
item_182;medisin;word;household;nouns;nouns;medicine;
item_183;nøkler;word;household;nouns;nouns;keys;
item_184;papir;word;household;nouns;nouns;paper;
item_185;penger;word;household;nouns;nouns;money;
item_186;plante;word;household;nouns;nouns;plant;
item_187;pute;word;household;nouns;nouns;pillow;
item_188;radio;word;household;nouns;nouns;radio;
item_189;saks;word;household;nouns;nouns;scissors;
item_190;såpe;word;household;nouns;nouns;soap;
item_191;skål;word;household;nouns;nouns;bowl;
item_192;skje;word;household;nouns;nouns;spoon;
item_193;søppel;word;household;nouns;nouns;trash;
item_194;støvsuger;word;household;nouns;nouns;vacuum;
item_195;tallerken;word;household;nouns;nouns;plate;
item_196;tannbørste;word;household;nouns;nouns;toothbrush;
item_197;telefon;word;household;nouns;nouns;telephone;
item_198;teppe;word;household;nouns;nouns;blanket;
item_199;bad;word;furniture_rooms;nouns;nouns;bathroom;
item_200;badekar;word;furniture_rooms;nouns;nouns;bathtub;
item_201;barnestol;word;furniture_rooms;nouns;nouns;high chair;
item_202;bord;word;furniture_rooms;nouns;nouns;table;
item_203;dør;word;furniture_rooms;nouns;nouns;door;
item_204;garasje;word;furniture_rooms;nouns;nouns;garage;
item_205;gyngestol;word;furniture_rooms;nouns;nouns;rocking chair;
item_206;kjøkken;word;furniture_rooms;nouns;nouns;kitchen;
item_207;kjøleskap;word;furniture_rooms;nouns;nouns;refrigerator;
item_208;komfyr;word;furniture_rooms;nouns;nouns;stove;
item_209;lekegrind;word;furniture_rooms;nouns;nouns;play pen;
item_210;ovn;word;furniture_rooms;nouns;nouns;oven;
item_211;potte;word;furniture_rooms;nouns;nouns;potty;
item_212;seng;word;furniture_rooms;nouns;nouns;bed;
item_213;skuff;word;furniture_rooms;nouns;nouns;drawer;
item_214;sofa;word;furniture_rooms;nouns;nouns;couch;
item_215;soverom;word;furniture_rooms;nouns;nouns;bedroom;
item_216;stol;word;furniture_rooms;nouns;nouns;chair;
item_217;stue;word;furniture_rooms;nouns;nouns;living room;
item_218;trapp;word;furniture_rooms;nouns;nouns;stairs;
item_219;TV;word;furniture_rooms;nouns;nouns;tv;
item_220;vask;word;furniture_rooms;nouns;nouns;sink;
item_221;vindu;word;furniture_rooms;nouns;nouns;window;
item_222;blomst;word;outside;nouns;nouns;flower;
item_223;himmel;word;outside;nouns;nouns;sky;
item_224;huske;word;outside;nouns;nouns;swing (object);
item_225;måne;word;outside;nouns;nouns;moon;
item_226;regn;word;outside;nouns;nouns;rain;
item_227;sklie;word;outside;nouns;nouns;slide (object);
item_228;snø;word;outside;nouns;nouns;snow;
item_229;sol;word;outside;nouns;nouns;sun;
item_230;spade;word;outside;nouns;nouns;shovel;
item_231;stein;word;outside;nouns;nouns;rock (object);
item_232;stjerner;word;outside;nouns;nouns;star;
item_233;tre;word;outside;nouns;nouns;tree;
item_234;ute;word;outside;nouns;nouns;outside;
item_235;vann;word;outside;nouns;nouns;water (not beverage);
item_236;butikk;word;places;other;other;store;
item_237;dyrehage;word;places;other;other;zoo;
item_238;fest;word;places;other;other;party;
item_239;hage;word;places;other;other;garden;
item_240;hjem;word;places;other;other;home;
item_241;hus;word;places;other;other;house;
item_242;jobb;word;places;other;other;work (place);
item_243;kirke;word;places;other;other;church;
item_244;park;word;places;other;other;park;
item_245;skole;word;places;other;other;school;
item_246;strand;word;places;other;other;beach;
item_247;svømmehall;word;places;other;other;pool;
item_248;baby;word;people;other;other;baby;
item_249;barn;word;people;other;other;child;
item_250;barnets navn;word;people;other;other;child's own name;
item_251;bestefar;word;people;other;other;grandpa;
item_252;bestemor;word;people;other;other;grandma;
item_253;bror;word;people;other;other;brother;
item_254;dame;word;people;other;other;lady;
item_255;farfar;word;people;other;other;grandpa;
item_256;farmor;word;people;other;other;grandma;
item_257;gutt;word;people;other;other;boy;
item_258;jente;word;people;other;other;girl;
item_259;mamma;word;people;other;other;mommy;
item_260;mann;word;people;other;other;man;
item_261;menneske;word;people;other;other;person;
item_262;morfar;word;people;other;other;grandpa;
item_263;mormor;word;people;other;other;grandma;
item_264;oldefar;word;people;other;other;great grandpa;
item_265;oldemor;word;people;other;other;great grandma;
item_266;onkel;word;people;other;other;uncle;
item_267;pappa;word;people;other;other;daddy;
item_268;søster;word;people;other;other;sister;
item_269;tante;word;people;other;other;aunt;
item_270;bade;word;games_routines;other;other;bath;
item_271;frokost;word;games_routines;other;other;breakfast;
item_272;god natt;word;games_routines;other;other;good night;
item_273;ha det;word;games_routines;other;other;bye;
item_274;hei;word;games_routines;other;other;hi;
item_275;hysj;word;games_routines;other;other;shh;
item_276;ikke;word;games_routines;other;other;don't;
item_277;ja;word;games_routines;other;other;yes;
item_278;klappe kake;word;games_routines;other;other;pattycake;
item_279;lek hvor ansikt gjemmes og plutselig vises (Borte!);word;games_routines;other;other;peekaboo;
item_280;lunsj;word;games_routines;other;other;lunch;
item_281;middag;word;games_routines;other;other;dinner;
item_282;nei;word;games_routines;other;other;no;
item_283;sovetid;word;games_routines;other;other;nap;
item_284;takk;word;games_routines;other;other;thank you;
item_285;vær så snill;word;games_routines;other;other;please;
item_286;vent;word;games_routines;other;other;wait;
item_287;vil;word;games_routines;other;other;wanna;
item_288;bite;word;action_words;predicates;verbs;bite;
item_289;blåse;word;action_words;predicates;verbs;blow;
item_290;danse;word;action_words;predicates;verbs;dance;
item_291;dra;word;action_words;predicates;verbs;go;
item_292;drikke;word;action_words;predicates;verbs;drink (action);
item_293;dytte;word;action_words;predicates;verbs;push;
item_294;elske;word;action_words;predicates;verbs;love;
item_295;få;word;action_words;predicates;verbs;get;
item_296;falle;word;action_words;predicates;verbs;fall;
item_297;forte seg;word;action_words;predicates;verbs;hurry;
item_298;gå;word;action_words;predicates;verbs;walk;
item_299;gi;word;action_words;predicates;verbs;give;
item_300;gjøre seg ferdig;word;action_words;predicates;verbs;finish;
item_301;gråte;word;action_words;predicates;verbs;cry;
item_302;hente;word;action_words;predicates;verbs;get;
item_303;hjelpe;word;action_words;predicates;verbs;help;
item_304;holde øye med;word;action_words;predicates;verbs;watch (action);
item_305;hoppe;word;action_words;predicates;verbs;jump;
item_306;huske;word;action_words;predicates;verbs;swing (action);
item_307;kaste;word;action_words;predicates;verbs;throw;
item_308;kile;word;action_words;predicates;verbs;tickle;
item_309;kjøre;word;action_words;predicates;verbs;drive;
item_310;klemme;word;action_words;predicates;verbs;hug;
item_311;kysse;word;action_words;predicates;verbs;kiss;
item_312;legge;word;action_words;predicates;verbs;put;
item_313;leke;word;action_words;predicates;verbs;play;
item_314;lese;word;action_words;predicates;verbs;read;
item_315;løpe;word;action_words;predicates;verbs;run;
item_316;lukke;word;action_words;predicates;verbs;close;
item_317;mate;word;action_words;predicates;verbs;feed;
item_318;ødelegge;word;action_words;predicates;verbs;break;
item_319;plaske;word;action_words;predicates;verbs;splash;
item_320;ri;word;action_words;predicates;verbs;ride;
item_321;rydde;word;action_words;predicates;verbs;clean (action);
item_322;se;word;action_words;predicates;verbs;see;
item_323;se på;word;action_words;predicates;verbs;look;
item_324;si;word;action_words;predicates;verbs;say;
item_325;skrive;word;action_words;predicates;verbs;write;
item_326;slå;word;action_words;predicates;verbs;hit;
item_327;smile;word;action_words;predicates;verbs;smile;
item_328;sove;word;action_words;predicates;verbs;sleep;
item_329;sparke;word;action_words;predicates;verbs;kick;
item_330;spise;word;action_words;predicates;verbs;eat;
item_331;stoppe;word;action_words;predicates;verbs;stop;
item_332;svømme;word;action_words;predicates;verbs;swim;
item_333;synge;word;action_words;predicates;verbs;sing;
item_334;ta;word;action_words;predicates;verbs;take;
item_335;ta på;word;action_words;predicates;verbs;touch;
item_336;tegne;word;action_words;predicates;verbs;draw;
item_337;tørke;word;action_words;predicates;verbs;dry (action);
item_338;vaske;word;action_words;predicates;verbs;wash;
item_339;vise;word;action_words;predicates;verbs;show;
item_340;åpne;word;action_words;predicates;verbs;open (action);
item_341;blå;word;descriptive_words;predicates;adjectives;blue;
item_342;borte;word;descriptive_words;predicates;adjectives;all gone;
item_343;bra;word;descriptive_words;predicates;adjectives;good;
item_344;ekkelt;word;descriptive_words;predicates;adjectives;yucky;
item_345;fin;word;descriptive_words;predicates;adjectives;fine;
item_346;forsiktig;word;descriptive_words;predicates;adjectives;careful;
item_347;fort;word;descriptive_words;predicates;adjectives;fast;
item_348;frekk;word;descriptive_words;predicates;adjectives;bad;
item_349;gammel;word;descriptive_words;predicates;adjectives;old;
item_350;glad;word;descriptive_words;predicates;adjectives;happy;
item_351;grei;word;descriptive_words;predicates;adjectives;easy;
item_352;hard;word;descriptive_words;predicates;adjectives;hard;
item_353;kald;word;descriptive_words;predicates;adjectives;cold;
item_354;liten;word;descriptive_words;predicates;adjectives;little (description);
item_355;mørkt;word;descriptive_words;predicates;adjectives;dark;
item_356;myk;word;descriptive_words;predicates;adjectives;soft;
item_357;ødelagt;word;descriptive_words;predicates;adjectives;broken;
item_358;pen;word;descriptive_words;predicates;adjectives;pretty;
item_359;redd;word;descriptive_words;predicates;adjectives;scared;
item_360;ren;word;descriptive_words;predicates;adjectives;clean (description);
item_361;rød;word;descriptive_words;predicates;adjectives;red;
item_362;skitten;word;descriptive_words;predicates;adjectives;dirty;
item_363;skjønn;word;descriptive_words;predicates;adjectives;beautiful;
item_364;slem;word;descriptive_words;predicates;adjectives;naughty;
item_365;sliten;word;descriptive_words;predicates;adjectives;sleepy;
item_366;søt;word;descriptive_words;predicates;adjectives;cute;
item_367;stor;word;descriptive_words;predicates;adjectives;big;
item_368;sulten;word;descriptive_words;predicates;adjectives;hungry;
item_369;syk;word;descriptive_words;predicates;adjectives;sick;
item_370;tom;word;descriptive_words;predicates;adjectives;empty;
item_371;tørr;word;descriptive_words;predicates;adjectives;dry (description);
item_372;tørst;word;descriptive_words;predicates;adjectives;thirsty;
item_373;trøtt;word;descriptive_words;predicates;adjectives;tired;
item_374;varm;word;descriptive_words;predicates;adjectives;hot;
item_375;våt;word;descriptive_words;predicates;adjectives;wet (description);
item_376;vondt;word;descriptive_words;predicates;adjectives;hurt (description);
item_377;dag;word;time_words;other;other;day;
item_378;i dag;word;time_words;other;other;today;
item_379;i kveld;word;time_words;other;other;tonight;
item_380;i morgen;word;time_words;other;other;tomorrow;
item_381;morgen;word;time_words;other;other;morning;
item_382;nå;word;time_words;other;other;now;
item_383;natt;word;time_words;other;other;night;
item_384;senere;word;time_words;other;other;later;
item_385;den;word;pronouns;function_words;function_words;the;
item_386;denne;word;pronouns;function_words;function_words;this;
item_387;det;word;pronouns;function_words;function_words;it;
